prefix_tokens,agreement,f1_macro,accuracy,roc_auc,frac_decided_by_now,mean_tokens_used
2,0.9602864583333334,0.1505670644498078,0.90234375,0.6086961107278622,0.888671875,30.27734375
4,0.96484375,0.2911111217517684,0.900390625,0.6564459421977373,0.9072265625,25.6015625
8,0.97314453125,0.41412377675281253,0.904296875,0.8170397903104617,0.9248046875,21.2421875
12,0.9791666666666666,0.5745037024555097,0.9228515625,0.8864879658353478,0.9345703125,18.859375
16,0.9803059895833334,0.6305297104127859,0.919921875,0.9215791696917837,0.9443359375,16.515625
24,0.9847005208333334,0.6452135843830639,0.9208984375,0.917873990472359,0.958984375,13.1171875
32,0.9869791666666666,0.6275205309631539,0.927734375,0.929687714102927,0.9658203125,11.5859375
48,0.9918619791666666,0.7282523376176627,0.9326171875,0.9808947038275041,0.9794921875,8.7421875
64,0.9947916666666666,0.7074940224123528,0.9296875,0.9878648576593788,0.986328125,7.4296875
96,0.9972330729166666,0.7076631588348388,0.9306640625,0.9932144504063509,0.99609375,5.8671875
128,0.998046875,0.7099790514496397,0.9326171875,0.9932865572378405,0.998046875,5.6171875
256,1.0,0.7025123616785525,0.9296875,0.9932987858666859,1.0,5.6171875
